MSG,5,1,1,44046E,1,2026/06/22,14:21:24.334,2026/06/22,14:21:24.339,,45000,,,,,,,0,,0,
MSG,8,1,1,A3EBD8,1,2026/06/22,14:21:24.350,2026/06/22,14:21:24.392,,,,,,,,,,,,0
MSG,3,1,1,A3EBD8,1,2026/06/22,14:21:24.358,2026/06/22,14:21:24.392,,6750,,,42.33889,-71.54578,,,0,,0,0
MSG,4,1,1,A3EBD8,1,2026/06/22,14:21:24.359,2026/06/22,14:21:24.392,,,177,6,,,64,,,,,0
MSG,5,1,1,A075DF,1,2026/06/22,14:21:24.381,2026/06/22,14:21:24.393,,12750,,,,,,,0,,0,
MSG,7,1,1,A4F26B,1,2026/06/22,14:21:24.386,2026/06/22,14:21:24.394,,40425,,,,,,,,,,
MSG,4,1,1,A075DF,1,2026/06/22,14:21:24.392,2026/06/22,14:21:24.446,,,352,102,,,-1344,,,,,0
MSG,3,1,1,A862F2,1,2026/06/22,14:21:24.401,2026/06/22,14:21:24.446,,18350,,,42.24261,-71.89928,,,0,,0,0
MSG,4,1,1,A862F2,1,2026/06/22,14:21:24.401,2026/06/22,14:21:24.446,,,171,243,,,1344,,,,,0
MSG,3,1,1,AD7B4D,1,2026/06/22,14:21:24.439,2026/06/22,14:21:24.448,,28875,,,42.82080,-71.63374,,,0,,0,0
MSG,5,1,1,A9C380,1,2026/06/22,14:21:24.459,2026/06/22,14:21:24.501,,30000,,,,,,,0,,0,
MSG,7,1,1,A075DF,1,2026/06/22,14:21:24.488,2026/06/22,14:21:24.503,,12750,,,,,,,,,,
MSG,7,1,1,A3EBD8,1,2026/06/22,14:21:24.518,2026/06/22,14:21:24.556,,6750,,,,,,,,,,
MSG,4,1,1,44046E,1,2026/06/22,14:21:24.532,2026/06/22,14:21:24.557,,,455,225,,,0,,,,,0
MSG,8,1,1,44046E,1,2026/06/22,14:21:24.548,2026/06/22,14:21:24.558,,,,,,,,,,,,0
MSG,3,1,1,A9C380,1,2026/06/22,14:21:24.551,2026/06/22,14:21:24.558,,30000,,,42.39473,-71.55620,,,0,,0,0
MSG,8,1,1,A9C380,1,2026/06/22,14:21:24.571,2026/06/22,14:21:24.610,,,,,,,,,,,,0
MSG,3,1,1,44046E,1,2026/06/22,14:21:24.579,2026/06/22,14:21:24.611,,45000,,,42.35788,-72.40271,,,0,,0,0
